field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
callsign,GALA21,True,,6,GALA21,True,,True
timestamp,1786673156,True,,,1786673156,True,,True
lat,47.4568,True,3202975,0,47.45680748386562,True,0.1744,True
lon,8.5628,True,2196915,1,8.562771931355456,True,0.3270,True
altitude,,False,,,,False,,True
speed,0.06,True,1,3,0.1,True,0.4000,True
heading,208.12,True,20812,4,208.12,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,URSULA8,True,,6,URSULA8,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,49.4601,True,3249655,0,49.46009623052984,True,0.0878,True
lon,5.0066,True,2155483,1,5.006633998545169,True,0.3961,True
altitude,10873.74,True,11874,2,10874.0,True,0.2600,True
speed,232.46,True,2325,3,232.5,True,0.4000,True
heading,35.91,True,3591,4,35.910000000000004,True,0.0000,True
vertical_rate,5.53,True,33321,5,5.529999999999973,True,0.0000,True
callsign,TAY5DN,True,,6,TAY5DN,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,47.9002,True,3213307,0,47.900208926250684,True,0.2080,True
lon,8.0776,True,2191262,1,8.077570933716487,True,0.3386,True
altitude,10972.8,True,11973,2,10973.0,True,0.2000,True
speed,229.54,True,2295,3,229.5,True,0.4000,True
heading,225.45,True,22545,4,225.45000000000002,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,ENT1511,True,,6,ENT1511,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,46.8917,True,3189807,0,46.891698096203356,True,0.0444,True
lon,11.2404,True,2228112,1,11.240432558162809,True,0.3793,True
altitude,9845.04,True,10845,2,9845.0,True,0.0400,True
speed,244.63,True,2446,3,244.60000000000002,True,0.3000,True
heading,222.78,True,22278,4,222.78,True,0.0000,True
vertical_rate,-8.78,True,31890,5,-8.779999999999973,True,0.0000,True
callsign,MACOR,True,,6,MACOR,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,49.385,True,3247905,0,49.384994360207145,True,0.1314,True
lon,10.8196,True,2223209,1,10.819604592229012,True,0.0535,True
altitude,10363.2,True,11363,2,10363.0,True,0.2000,True
speed,243.05,True,2431,3,243.10000000000002,True,0.5000,True
heading,288.51,True,28851,4,288.51,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,THY6091,True,,6,THY6091,True,,True
timestamp,1786673158,True,,,1786673158,True,,True
lat,47.8892,True,3213050,0,47.88917968015187,True,0.4735,True
lon,7.6044,True,2185749,1,7.604386235329201,True,0.1604,True
altitude,11277.6,True,12278,2,11278.0,True,0.4000,True
speed,259.77,True,2598,3,259.8,True,0.3000,True
heading,103.98,True,10398,4,103.98,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,ETD2,True,,6,ETD2,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,46.5431,True,3181684,0,46.54309667184273,True,0.0776,True
lon,5.7885,True,2164592,1,5.788465926281418,True,0.3970,True
altitude,11277.6,True,12278,2,11278.0,True,0.4000,True
speed,225.32,True,2253,3,225.3,True,0.2000,True
heading,198.23,True,19823,4,198.23000000000002,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,EWG40C,True,,6,EWG40C,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,48.7235,True,3232491,0,48.723497086405075,True,0.0679,True
lon,9.4611,True,2207381,1,9.461076131123548,True,0.2781,True
altitude,11582.4,True,12582,2,11582.0,True,0.4000,True
speed,222.93,True,2229,3,222.9,True,0.3000,True
heading,302.37,True,30237,4,302.37,True,0.0000,True
vertical_rate,-0.33,True,32735,5,-0.3299999999999841,True,0.0000,True
callsign,GAV596,True,,6,GAV596,True,,True
timestamp,1786673158,True,,,1786673158,True,,True
lat,49.2407,True,3244543,0,49.24071293847868,True,0.3015,True
lon,10.6218,True,2220904,1,10.621764808121867,True,0.4100,True
altitude,5242.56,True,6243,2,5243.0,True,0.4400,True
speed,192.03,True,1920,3,192.0,True,0.3000,True
heading,248.8,True,24880,4,248.8,True,0.0000,True
vertical_rate,9.43,True,33711,5,9.430000000000007,True,0.0000,True
callsign,EWG53L,True,,6,EWG53L,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,45.9448,True,3167743,0,45.94481371517509,True,0.3196,True
lon,11.2937,True,2228733,1,11.293733428414669,True,0.3895,True
altitude,13716,True,14716,2,13716.0,True,0.0000,True
speed,255.71,True,2557,3,255.70000000000002,True,0.1000,True
heading,118.21,True,11821,4,118.21000000000001,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,N950MP,True,,6,N950MP,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,45.7172,True,3162439,0,45.717190675065666,True,0.2173,True
lon,5.0918,True,2156475,1,5.091778061813841,True,0.2556,True
altitude,,False,,,,False,,True
speed,7.2,True,72,3,7.2,True,0.0000,True
heading,168.75,True,16875,4,168.75,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,LA2,True,,6,LA2,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,47.4443,True,3202684,0,47.44431911571482,True,0.4454,True
lon,8.5674,True,2196969,1,8.567406789638227,True,0.0791,True
altitude,,False,,,,False,,True
speed,0.06,True,1,3,0.1,True,0.4000,True
heading,244.69,True,24469,4,244.69,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,SWR7DC,True,,6,SWR7DC,True,,True
timestamp,1786673098,True,,,1786673098,True,,True
lat,48.3537,True,3223874,0,48.353695476936224,True,0.1054,True
lon,9.5029,True,2207868,1,9.502875686377479,True,0.2833,True
altitude,11894.82,True,12895,2,11895.0,True,0.1800,True
speed,241.82,True,2418,3,241.8,True,0.2000,True
heading,152.78,True,15278,4,152.78,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,UPS266,True,,6,UPS266,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,45.5287,True,3158047,0,45.528706438233,True,0.1500,True
lon,5.104,True,2156617,1,5.103966022483348,True,0.3959,True
altitude,10972.8,True,11973,2,10973.0,True,0.2000,True
speed,255.67,True,2557,3,255.70000000000002,True,0.3000,True
heading,110,True,11000,4,110.0,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,UAE4M,True,,6,UAE4M,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,47.5896,True,3206069,0,47.589587590596096,True,0.2892,True
lon,7.5295,True,2184877,1,7.529541857133353,True,0.4877,True
altitude,,False,,,,False,,True
speed,22.12,True,221,3,22.1,True,0.2000,True
heading,334.69,True,33469,4,334.69,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,M02,True,,6,M02,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,48.9357,True,3237436,0,48.9357135142597,True,0.3149,True
lon,8.9906,True,2201900,1,8.990638015422348,True,0.4429,True
altitude,11582.4,True,12582,2,11582.0,True,0.4000,True
speed,228.42,True,2284,3,228.4,True,0.2000,True
heading,300.9,True,30090,4,300.90000000000003,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,TOM8VC,True,,6,TOM8VC,True,,True
timestamp,1786673172,True,,,1786673172,True,,True
lat,48.6862,True,3231622,0,48.68620364337053,True,0.0849,True
lon,9.2024,True,2204367,1,9.202382374377805,True,0.2054,True
altitude,,False,,,,False,,True
speed,5.66,True,57,3,5.7,True,0.4000,True
heading,73.12,True,7312,4,73.12,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,F172,True,,6,F172,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,49.405,True,3248371,0,49.40499291539024,True,0.1651,True
lon,11.5747,True,2232006,1,11.574657338775921,True,0.4970,True
altitude,12184.38,True,13184,2,12184.0,True,0.3800,True
speed,243.99,True,2440,3,244.0,True,0.1000,True
heading,293.48,True,29348,4,293.48,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,QFA219,True,,6,QFA219,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,48.5185,True,3227714,0,48.518490438101395,True,0.2228,True
lon,6.298,True,2170529,1,6.298042845259403,True,0.4992,True
altitude,11887.2,True,12887,2,11887.0,True,0.2000,True
speed,233.65,True,2337,3,233.70000000000002,True,0.5000,True
heading,181.64,True,18164,4,181.64000000000001,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,SRR6382,True,,6,SRR6382,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,45.7287,True,3162707,0,45.72869199006365,True,0.1866,True
lon,8.7918,True,2199583,1,8.79176826280792,True,0.3698,True
altitude,3314.7,True,4315,2,3315.0,True,0.3000,True
speed,167.29,True,1673,3,167.3,True,0.1000,True
heading,152.33,True,15233,4,152.33,True,0.0000,True
vertical_rate,-5.85,True,32183,5,-5.850000000000023,True,0.0000,True
callsign,BCS6GA,True,,6,BCS6GA,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,47.4578,True,3202998,0,47.45779453701843,True,0.1273,True
lon,8.5619,True,2196905,1,8.561913624266055,True,0.1587,True
altitude,,False,,,,False,,True
speed,2.57,True,26,3,2.6,True,0.3000,True
heading,275.62,True,27562,4,275.62,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,VIKTOR21,True,,6,VIKTOR21,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,47.4582,True,3203007,0,47.45818077520866,True,0.4480,True
lon,8.5491,True,2196756,1,8.549124848633966,True,0.2895,True
altitude,,False,,,,False,,True
speed,4.37,True,44,3,4.4,True,0.3000,True
heading,278.44,True,27844,4,278.44,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,GALA6,True,,6,GALA6,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,47.4409,True,3202604,0,47.44088588735721,True,0.3288,True
lon,8.5624,True,2196911,1,8.562428608519696,True,0.3333,True
altitude,,False,,,,False,,True
speed,2.57,True,26,3,2.6,True,0.3000,True
heading,219.38,True,21938,4,219.38,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,VIKTOR31,True,,6,VIKTOR31,True,,True
timestamp,1786673163,True,,,1786673163,True,,True
lat,47.4579,True,3203000,0,47.45788036772737,True,0.4575,True
lon,8.549,True,2196755,1,8.549039017925026,True,0.4546,True
altitude,,False,,,,False,,True
speed,4.89,True,49,3,4.9,True,0.1000,True
heading,247.5,True,24750,4,247.5,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,GALA21,True,,6,GALA21,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,47.4568,True,3202975,0,47.45680748386562,True,0.1744,True
lon,8.5628,True,2196915,1,8.562771931355456,True,0.3270,True
altitude,,False,,,,False,,True
speed,0,True,0,3,0.0,True,0.0000,True
heading,118.12,True,11812,4,118.12,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,URSULA8,True,,6,URSULA8,True,,True
timestamp,1786673172,True,,,1786673172,True,,True
lat,49.484,True,3250212,0,49.484000082969686,True,0.0019,True
lon,5.0333,True,2155794,1,5.033327349025569,True,0.3186,True
altitude,10957.56,True,11958,2,10958.0,True,0.4400,True
speed,233.06,True,2331,3,233.10000000000002,True,0.4000,True
heading,36.11,True,3611,4,36.11,True,0.0000,True
vertical_rate,5.85,True,33353,5,5.850000000000023,True,0.0000,True
callsign,TAY5DN,True,,6,TAY5DN,True,,True
timestamp,1786673173,True,,,1786673173,True,,True
lat,47.8793,True,3212820,0,47.87930914862375,True,0.2132,True
lon,8.0462,True,2190897,1,8.046242724953316,True,0.4978,True
altitude,10972.8,True,11973,2,10973.0,True,0.2000,True
speed,229.54,True,2295,3,229.5,True,0.4000,True
heading,225.45,True,22545,4,225.45000000000002,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,ENT1511,True,,6,ENT1511,True,,True
timestamp,1786673174,True,,,1786673174,True,,True
lat,46.8685,True,3189266,0,46.868480889435034,True,0.4453,True
lon,11.209,True,2227746,1,11.209018518690698,True,0.2158,True
altitude,9730.74,True,10731,2,9731.0,True,0.2600,True
speed,243.53,True,2435,3,243.5,True,0.3000,True
heading,222.86,True,22286,4,222.86,True,0.0000,True
vertical_rate,-8.13,True,31955,5,-8.129999999999995,True,0.0000,True
callsign,MACOR,True,,6,MACOR,True,,True
